"JURISDICTION","AGE_GROUP","Total_FINES","Total_ARRESTS","Total_CHARGES"
"ACT","0-16",10,0,0
"ACT","17-25",82,0,0
"ACT","26-39",110,0,0
"ACT","40-64",79,0,0
"ACT","65 and over",7,0,0
"NSW","0-16",18,0,2
"NSW","17-25",4141,0,56
"NSW","26-39",5055,0,81
"NSW","40-64",3692,0,47
"NSW","65 and over",379,0,1
"NT","17-25",41,2,6
"NT","26-39",90,1,2
"NT","40-64",64,0,0
"NT","65 and over",10,2,6
"SA","0-16",3,0,0
"SA","17-25",1387,0,0
"SA","26-39",2272,0,0
"SA","40-64",1805,0,0
"SA","65 and over",302,0,0
"TAS","0-16",0,0,0
"TAS","17-25",440,0,13
"TAS","26-39",1017,0,21
"TAS","40-64",837,0,3
"TAS","65 and over",134,0,0
"VIC","0-16",6,0,0
"VIC","17-25",4440,0,0
"VIC","26-39",13162,0,0
"VIC","40-64",12162,0,0
"VIC","65 and over",1572,0,0
"WA","0-16",0,0,1
"WA","17-25",706,1,34
"WA","26-39",1512,3,66
"WA","40-64",1227,3,50
"WA","65 and over",147,0,6
