"JURISDICTION","AGE_GROUP","MONTH","LOCATION","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
"ACT","0-16","April","Major Cities of Australia",2,0,0
"ACT","0-16","June","Major Cities of Australia",2,0,0
"ACT","0-16","March","Major Cities of Australia",1,0,0
"ACT","0-16","May","Major Cities of Australia",3,0,0
"ACT","0-16","November","Major Cities of Australia",1,0,0
"ACT","0-16","October","Major Cities of Australia",1,0,0
"ACT","17-25","April","Major Cities of Australia",7,0,0
"ACT","17-25","August","Major Cities of Australia",9,0,0
"ACT","17-25","December","Major Cities of Australia",4,0,0
"ACT","17-25","February","Major Cities of Australia",7,0,0
"ACT","17-25","January","Major Cities of Australia",8,0,0
"ACT","17-25","July","Major Cities of Australia",10,0,0
"ACT","17-25","June","Major Cities of Australia",5,0,0
"ACT","17-25","March","Major Cities of Australia",12,0,0
"ACT","17-25","May","Major Cities of Australia",5,0,0
"ACT","17-25","November","Major Cities of Australia",6,0,0
"ACT","17-25","October","Major Cities of Australia",4,0,0
"ACT","17-25","September","Major Cities of Australia",5,0,0
"ACT","26-39","April","Major Cities of Australia",11,0,0
"ACT","26-39","August","Major Cities of Australia",8,0,0
"ACT","26-39","December","Major Cities of Australia",3,0,0
"ACT","26-39","February","Major Cities of Australia",8,0,0
"ACT","26-39","January","Major Cities of Australia",8,0,0
"ACT","26-39","July","Major Cities of Australia",8,0,0
"ACT","26-39","June","Major Cities of Australia",9,0,0
"ACT","26-39","March","Major Cities of Australia",14,0,0
"ACT","26-39","May","Major Cities of Australia",9,0,0
"ACT","26-39","November","Major Cities of Australia",7,0,0
"ACT","26-39","October","Major Cities of Australia",15,0,0
"ACT","26-39","September","Major Cities of Australia",10,0,0
"ACT","40-64","April","Major Cities of Australia",6,0,0
"ACT","40-64","August","Major Cities of Australia",6,0,0
"ACT","40-64","December","Major Cities of Australia",1,0,0
"ACT","40-64","February","Major Cities of Australia",12,0,0
"ACT","40-64","January","Major Cities of Australia",12,0,0
"ACT","40-64","July","Major Cities of Australia",6,0,0
"ACT","40-64","June","Major Cities of Australia",7,0,0
"ACT","40-64","March","Major Cities of Australia",1,0,0
"ACT","40-64","May","Major Cities of Australia",8,0,0
"ACT","40-64","November","Major Cities of Australia",5,0,0
"ACT","40-64","October","Major Cities of Australia",5,0,0
"ACT","40-64","September","Major Cities of Australia",10,0,0
"ACT","65 and over","April","Major Cities of Australia",2,0,0
"ACT","65 and over","December","Major Cities of Australia",1,0,0
"ACT","65 and over","February","Major Cities of Australia",1,0,0
"ACT","65 and over","July","Major Cities of Australia",1,0,0
"ACT","65 and over","November","Major Cities of Australia",1,0,0
"ACT","65 and over","September","Major Cities of Australia",1,0,0
"NSW","0-16","April","Inner Regional Australia",1,0,0
"NSW","0-16","April","Major Cities of Australia",1,0,0
"NSW","0-16","August","Inner Regional Australia",2,0,0
"NSW","0-16","August","Major Cities of Australia",1,0,1
"NSW","0-16","December","Inner Regional Australia",2,0,0
"NSW","0-16","December","Major Cities of Australia",2,0,0
"NSW","0-16","May","Inner Regional Australia",2,0,0
"NSW","0-16","May","Outer Regional Australia",0,0,1
"NSW","0-16","November","Inner Regional Australia",3,0,0
"NSW","0-16","November","Major Cities of Australia",1,0,0
"NSW","0-16","October","Major Cities of Australia",1,0,0
"NSW","0-16","September","Inner Regional Australia",1,0,0
"NSW","0-16","September","Major Cities of Australia",1,0,0
"NSW","17-25","April","Inner Regional Australia",39,0,0
"NSW","17-25","April","Major Cities of Australia",348,0,2
"NSW","17-25","April","Outer Regional Australia",4,0,0
"NSW","17-25","April","Unknown",1,0,0
"NSW","17-25","April","Very Remote Australia",1,0,0
"NSW","17-25","August","Inner Regional Australia",35,0,2
"NSW","17-25","August","Major Cities of Australia",298,0,2
"NSW","17-25","August","Outer Regional Australia",4,0,0
"NSW","17-25","August","Unknown",4,0,0
"NSW","17-25","December","Inner Regional Australia",48,0,1
"NSW","17-25","December","Major Cities of Australia",340,0,9
"NSW","17-25","December","Outer Regional Australia",10,0,0
"NSW","17-25","December","Unknown",33,0,0
"NSW","17-25","December","Very Remote Australia",1,0,0
"NSW","17-25","February","Inner Regional Australia",48,0,1
"NSW","17-25","February","Major Cities of Australia",278,0,3
"NSW","17-25","February","Outer Regional Australia",4,0,1
"NSW","17-25","January","Inner Regional Australia",55,0,0
"NSW","17-25","January","Major Cities of Australia",270,0,5
"NSW","17-25","January","Outer Regional Australia",6,0,0
"NSW","17-25","July","Inner Regional Australia",38,0,1
"NSW","17-25","July","Major Cities of Australia",253,0,3
"NSW","17-25","July","Outer Regional Australia",5,0,0
"NSW","17-25","July","Remote Australia",0,0,1
"NSW","17-25","June","Inner Regional Australia",48,0,1
"NSW","17-25","June","Major Cities of Australia",338,0,1
"NSW","17-25","June","Outer Regional Australia",5,0,0
"NSW","17-25","June","Unknown",2,0,0
"NSW","17-25","March","Inner Regional Australia",37,0,0
"NSW","17-25","March","Major Cities of Australia",283,0,3
"NSW","17-25","March","Outer Regional Australia",6,0,1
"NSW","17-25","May","Inner Regional Australia",36,0,0
"NSW","17-25","May","Major Cities of Australia",330,0,6
"NSW","17-25","May","Outer Regional Australia",3,0,0
"NSW","17-25","May","Unknown",2,0,0
