"YEAR","JURISDICTION","DETECTION_METHOD","Total Number of Fines"
"2008","ACT","Police issued",2060
"2008","NSW","Police issued",40882
"2008","NT","Police issued",671
"2008","QLD","Police issued",28499
"2008","SA","Police issued",11411
"2008","TAS","Police issued",6780
"2008","VIC","Police issued",49739
"2008","WA","Police issued",15957
"2009","ACT","Police issued",1890
"2009","NSW","Police issued",41167
"2009","NT","Police issued",1106
"2009","QLD","Police issued",33352
"2009","SA","Police issued",14167
"2009","TAS","Police issued",5665
"2009","VIC","Police issued",53101
"2009","WA","Police issued",14804
"2010","ACT","Police issued",2407
"2010","NSW","Police issued",51104
"2010","NT","Police issued",998
"2010","QLD","Police issued",33013
"2010","SA","Police issued",14139
"2010","TAS","Police issued",3735
"2010","VIC","Police issued",54728
"2010","WA","Police issued",11705
"2011","ACT","Police issued",2284
"2011","NSW","Police issued",46714
"2011","NT","Police issued",729
"2011","QLD","Police issued",30389
"2011","SA","Police issued",13402
"2011","TAS","Police issued",3241
"2011","VIC","Police issued",52630
"2011","WA","Police issued",10485
"2012","ACT","Police issued",1722
"2012","NSW","Police issued",42900
"2012","NT","Police issued",722
"2012","QLD","Police issued",28548
"2012","SA","Police issued",11623
"2012","TAS","Police issued",2141
"2012","VIC","Police issued",61497
"2012","WA","Police issued",17822
"2013","ACT","Police issued",1356
"2013","NSW","Police issued",33514
"2013","NT","Police issued",1058
"2013","QLD","Police issued",27998
"2013","SA","Police issued",12560
"2013","TAS","Police issued",2914
"2013","VIC","Police issued",52452
"2013","WA","Police issued",14563
"2014","ACT","Police issued",1115
"2014","NSW","Police issued",34952
"2014","NT","Police issued",517
"2014","QLD","Police issued",25068
"2014","SA","Police issued",11886
"2014","TAS","Police issued",3256
"2014","VIC","Police issued",41448
"2014","WA","Police issued",14377
"2015","ACT","Police issued",873
"2015","NSW","Police issued",37989
"2015","NT","Police issued",492
"2015","QLD","Police issued",23048
"2015","SA","Police issued",12446
"2015","TAS","Police issued",3273
"2015","VIC","Police issued",33598
"2015","WA","Police issued",16666
"2016","ACT","Police issued",1120
"2016","NSW","Police issued",38918
"2016","NT","Police issued",535
"2016","QLD","Police issued",17213
"2016","SA","Police issued",11153
"2016","TAS","Police issued",3191
"2016","VIC","Police issued",27925
"2016","WA","Police issued",14926
"2017","ACT","Police issued",1299
"2017","NSW","Police issued",41020
"2017","NT","Police issued",546
"2017","QLD","Police issued",15043
"2017","SA","Police issued",11252
"2017","TAS","Police issued",2738
"2017","VIC","Police issued",29293
"2017","WA","Police issued",16718
"2018","ACT","Police issued",1399
"2018","NSW","Police issued",37653
"2018","NT","Police issued",861
"2018","QLD","Police issued",12828
"2018","SA","Police issued",8471
"2018","TAS","Police issued",2614
"2018","VIC","Police issued",32458
"2018","WA","Police issued",17697
"2019","ACT","Police issued",1098
"2019","NSW","Police issued",25463
"2019","NT","Police issued",760
"2019","QLD","Police issued",11580
"2019","SA","Police issued",7567
"2019","TAS","Police issued",2355
"2019","VIC","Police issued",36694
"2019","WA","Police issued",11850
"2020","ACT","Police issued",812
"2020","NSW","Camera issued",138847
"2020","NSW","Police issued",12878
"2020","NT","Police issued",380
"2020","QLD","Police issued",4823
"2020","SA","Police issued",6325
"2020","TAS","Police issued",1966
"2020","VIC","Police issued",21231
"2020","WA","Police issued",7889
"2021","ACT","Police issued",544
"2021","NSW","Camera issued",163722
"2021","NSW","Police issued",10360
"2021","NT","Police issued",309
"2021","QLD","Camera issued",14574
"2021","QLD","Police issued",3973
"2021","SA","Police issued",4799
"2021","TAS","Police issued",2328
"2021","VIC","Police issued",15562
"2021","WA","Police issued",4909
"2022","ACT","Police issued",374
"2022","NSW","Camera issued",194793
"2022","NSW","Police issued",12904
"2022","NT","Police issued",302
"2022","QLD","Camera issued",118152
"2022","QLD","Police issued",3487
"2022","SA","Police issued",4583
"2022","TAS","Police issued",1973
"2022","VIC","Police issued",19428
"2022","WA","Police issued",6346
"2023","ACT","Police issued",288
"2023","NSW","Camera issued",202757
"2023","NSW","Police issued",13285
"2023","NT","Police issued",205
"2023","QLD","Camera issued",77213
"2023","QLD","Police issued",3079
"2023","SA","Police issued",5769
"2023","TAS","Camera issued",870
"2023","TAS","Police issued",1558
"2023","VIC","Camera issued",30723
"2023","VIC","Police issued",18823
"2023","WA","Police issued",3592
"2023","WA","Unknown",0
